"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42354-12511","PG","Ish","Ish Smith","Smith","22.45294189453125","34","4800","DEN@WAS","WAS","DEN","","","","",""
"42354-23802","PG","Kris","Kris Dunn","Dunn","21.782857840401785","35","4800","BOS@CHI","CHI","BOS","","","","",""
"42354-16293","SG","Norman","Norman Powell","Powell","24.555555555555557","27","4800","TOR@BKN","TOR","BKN","O","Shoulder","","",""
"42354-12368","PF","Nemanja","Nemanja Bjelica","Bjelica","25.542857142857144","35","4700","NO@SAC","SAC","NO","","","","",""
"42354-12474","PG","Patrick","Patrick Beverley","Beverley","25.017241379310345","29","4700","MEM@LAC","LAC","MEM","O","Wrist","","",""
"42354-84694","SG","Bruce","Bruce Brown","Brown","22.50588271197151","34","4700","DET@GS","DET","GS","","","","",""
"42354-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","18.384848854758523","33","4700","SA@MIL","MIL","SA","","","","",""
"42354-15800","SF","Jae","Jae Crowder","Crowder","24.32424279415246","33","4700","MEM@LAC","MEM","LAC","GTD","Ankle","","",""
"42354-49675","PG","Derrick","Derrick White","White","20.254839497227824","31","4600","SA@MIL","SA","MIL","","","","",""
"42354-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","19.44074164496528","27","4600","TOR@BKN","TOR","BKN","","","","",""
"42354-70827","C","Ivica","Ivica Zubac","Zubac","20.552778455946182","36","4600","MEM@LAC","LAC","MEM","","","","",""
"42354-60233","SG","Dillon","Dillon Brooks","Brooks","23.791428920200893","35","4600","MEM@LAC","MEM","LAC","","","","",""
"42354-40830","SG","Delon","Delon Wright","Wright","21.393749237060547","32","4600","CHA@DAL","DAL","CHA","GTD","Foot","","",""
"42354-16363","SF","Joe","Joe Harris","Harris","24.166666666666668","33","4600","TOR@BKN","BKN","TOR","","","","",""
"42354-96763","PG","Brandon","Brandon Goodwin","Goodwin","13.533332824707031","6","4600","IND@ATL","ATL","IND","","","","",""
"42354-14511","SF","Markieff","Markieff Morris","Morris","18.88387175529234","31","4500","DET@GS","DET","GS","O","Foot","","",""
"42354-16081","PF","Khem","Khem Birch","Birch","15.469999694824219","20","4500","UTA@ORL","ORL","UTA","","","","",""
"42354-15583","PG","Seth","Seth Curry","Curry","16.359375","32","4500","CHA@DAL","DAL","CHA","","","","",""
"42354-110342","PG","Darius","Darius Garland","Garland","18.138235653147976","34","4500","OKC@CLE","CLE","OKC","","","","",""
"42354-15628","SF","Otto","Otto Porter","Porter","20.91111077202691","9","4500","BOS@CHI","CHI","BOS","O","Foot","","",""
"42354-9575","PG","Mike","Mike Conley","Conley","25.209089799360797","22","4500","UTA@ORL","UTA","ORL","O","Hamstring","","",""
"42354-24544","SG","Gary","Gary Harris","Harris","22.071874618530273","32","4500","DEN@WAS","DEN","WAS","","","","",""
"42354-16405","SG","Terrence","Terrence Ross","Ross","20.265625","32","4400","UTA@ORL","ORL","UTA","","","","",""
"42354-68203","PF","Chris","Chris Boucher","Boucher","15.318750381469727","32","4400","TOR@BKN","TOR","BKN","","","","",""
"42354-67707","PF","Marquese","Marquese Chriss","Chriss","19.768572126116073","35","4400","DET@GS","GS","DET","","","","",""
"42354-20640","SG","Jordan","Jordan Clarkson","Clarkson","21.981818921638258","33","4400","UTA@ORL","UTA","ORL","","","","",""
"42354-14505","C","Bismack","Bismack Biyombo","Biyombo","18.454286411830356","35","4400","CHA@DAL","CHA","DAL","","","","",""
